iter	Passed	Remaining
0	157	157540
1	164	81862
2	171	56925
3	178	44457
4	186	37052
5	193	31975
6	199	28263
7	205	25462
8	212	23372
9	219	21714
10	225	20297
11	232	19109
12	237	18052
13	244	17214
14	251	16504
15	258	15875
16	264	15267
17	269	14728
18	276	14289
19	283	13890
20	289	13513
21	295	13130
22	302	12845
23	309	12570
24	315	12321
25	322	12098
26	328	11835
27	334	11626
28	341	11445
29	348	11279
30	355	11112
31	360	10914
32	367	10777
33	374	10636
34	381	10518
35	389	10431
36	397	10344
37	404	10243
38	409	10101
39	416	10006
40	423	9912
41	431	9833
42	438	9756
43	445	9671
44	450	9562
45	456	9474
46	463	9393
47	469	9314
48	475	9219
49	481	9155
50	488	9091
51	494	9023
52	502	8970
53	508	8901
54	514	8843
55	522	8804
56	530	8779
57	538	8751
58	546	8717
59	553	8668
60	561	8637
61	567	8581
62	572	8517
63	579	8477
64	586	8431
65	593	8391
66	598	8339
67	605	8293
68	611	8252
69	618	8213
70	624	8172
71	629	8119
72	636	8081
73	643	8046
74	649	8012
75	655	7965
76	661	7932
77	668	7899
78	675	7872
79	681	7833
80	686	7791
81	693	7764
82	700	7735
83	707	7713
84	712	7671
85	719	7646
86	725	7618
87	732	7591
88	738	7557
89	744	7523
90	750	7498
91	757	7471
92	762	7439
93	768	7410
94	775	7386
95	782	7364
96	788	7337
97	793	7305
98	801	7294
99	808	7277
100	815	7259
101	821	7233
102	827	7203
103	833	7182
104	840	7162
105	846	7142
106	852	7111
107	858	7090
108	864	7069
109	870	7046
110	876	7018
111	883	7001
112	890	6986
113	896	6966
114	901	6938
115	908	6920
116	914	6902
117	921	6887
118	926	6862
119	932	6841
120	939	6828
121	946	6811
122	952	6794
123	958	6770
124	964	6752
125	971	6737
126	978	6725
127	985	6712
128	993	6705
129	999	6687
130	1005	6670
131	1011	6654
132	1018	6638
133	1023	6614
134	1030	6603
135	1038	6598
136	1046	6592
137	1054	6586
138	1061	6576
139	1069	6569
